curr,theme,type,text,korPronunciation,ipa,meaning
ipa,ipa,ipa,ɑ,아-,/ɑ/,AA (vowel)
ipa,ipa,ipa,æ,애,/æ/,AE (vowel)
ipa,ipa,ipa,ʌ,어,/ʌ/,AH (vowel)
ipa,ipa,ipa,ɔ,오-,/ɔ/,AO (vowel)
ipa,ipa,ipa,aʊ,아우-,/aʊ/,AW (vowel)
ipa,ipa,ipa,ə,어,/ə/,AX (vowel)
ipa,ipa,ipa,aɪ,아이-,/aɪ/,AY (vowel)
ipa,ipa,ipa,b,브,/b/,B (stop)
ipa,ipa,ipa,tʃ,치,/tʃ/,CH (affricate)
ipa,ipa,ipa,d,드,/d/,D (stop)
ipa,ipa,ipa,ð,드,/ð/,DH (fricative)
ipa,ipa,ipa,ɛ,에,/ɛ/,EH (vowel)
ipa,ipa,ipa,ɝ,얼-,/ɝ/,ER (vowel)
ipa,ipa,ipa,eɪ,에이-,/eɪ/,EY (vowel)
ipa,ipa,ipa,f,ㅍ,/f/,F (fricative)
ipa,ipa,ipa,g,그,/g/,G (stop)
ipa,ipa,ipa,h,ㅎ,/h/,HH (aspirate)
ipa,ipa,ipa,ɪ,이,/ɪ/,IH (vowel)
ipa,ipa,ipa,i,이-,/i/,IY (vowel)
ipa,ipa,ipa,dʒ,지,/dʒ/,JH (affricate)
ipa,ipa,ipa,k,ㅋ,/k/,K (stop)
ipa,ipa,ipa,ɫ,ㄹ,/ɫ/,L (liquid)
ipa,ipa,ipa,m,ㅁ,/m/,M (nasal)
ipa,ipa,ipa,n,ㄴ,/n/,N (nasal)
ipa,ipa,ipa,ŋ,ㅇ,/ŋ/,NG (nasal)
ipa,ipa,ipa,oʊ,오우-,/oʊ/,OW (vowel)
ipa,ipa,ipa,ɔɪ,오이-,/ɔɪ/,OY (vowel)
ipa,ipa,ipa,p,프,/p/,P (stop)
ipa,ipa,ipa,ɹ,미국식 r,/ɹ/,R (liquid)
ipa,ipa,ipa,s,ㅅ,/s/,S (fricative)
ipa,ipa,ipa,ʃ,쉬,/ʃ/,SH (fricative)
ipa,ipa,ipa,t,ㅌ,/t/,T (stop)
ipa,ipa,ipa,θ,쓰,/θ/,TH (fricative)
ipa,ipa,ipa,ʊ,우,/ʊ/,UH (vowel)
ipa,ipa,ipa,u,우-,/u/,UW (vowel)
ipa,ipa,ipa,v,브,/v/,V (fricative)
ipa,ipa,ipa,w,워/우,/w/,W (semivowel)
ipa,ipa,ipa,j,이/야,/j/,Y (semivowel)
ipa,ipa,ipa,z,즈,/z/,Z (fricative)
ipa,ipa,ipa,ʒ,쥐,/ʒ/,ZH (fricative)
학습하기,기본표현(일상),단어,please,플리즈,/pliz/,부탁해요
